sygnoos popup builder 2.4.9 wordpress,"[{""start"":0,""end"":6,""label"":""cpe_vendor""},{""start"":8,""end"":20,""label"":""cpe_product""},{""start"":22,""end"":26,""label"":""cpe_version""}]"
trend micro deep security agent 11.0 update 23 long term support edition,"[{""start"":12,""end"":30,""label"":""cpe_product""},{""start"":32,""end"":35,""label"":""cpe_version""}]"
freedesktop udisks 2.1.0,"[{""start"":0,""end"":10,""label"":""cpe_vendor""},{""start"":12,""end"":17,""label"":""cpe_product""},{""start"":19,""end"":23,""label"":""cpe_version""}]"
uncannyowl uncanny toolkit for learndash 1.1,"[{""start"":0,""end"":9,""label"":""cpe_vendor""},{""start"":11,""end"":39,""label"":""cpe_product""},{""start"":41,""end"":43,""label"":""cpe_version""}]"
varnish-software varnich cache 4.1.2 beta 2 - edition,"[{""start"":0,""end"":15,""label"":""cpe_vendor""},{""start"":17,""end"":29,""label"":""cpe_product""},{""start"":31,""end"":35,""label"":""cpe_version""}]"
nic knot resolver 2.4.0,"[{""start"":0,""end"":2,""label"":""cpe_vendor""},{""start"":4,""end"":16,""label"":""cpe_product""},{""start"":18,""end"":22,""label"":""cpe_version""}]"
modified-shop modified ecommerce shopsoftware 1.05,"[{""start"":0,""end"":12,""label"":""cpe_vendor""},{""start"":14,""end"":44,""label"":""cpe_product""},{""start"":46,""end"":49,""label"":""cpe_version""}]"
veronalabs wp statistics 4.5 for wordpress,"[{""start"":0,""end"":9,""label"":""cpe_vendor""},{""start"":11,""end"":23,""label"":""cpe_product""},{""start"":25,""end"":27,""label"":""cpe_version""}]"
peplink balance 1350 firmware 8.1.0,"[{""start"":0,""end"":6,""label"":""cpe_vendor""},{""start"":8,""end"":28,""label"":""cpe_product""},{""start"":30,""end"":34,""label"":""cpe_version""}]"
gnu automake 1.7,"[{""start"":0,""end"":2,""label"":""cpe_vendor""},{""start"":4,""end"":11,""label"":""cpe_product""},{""start"":13,""end"":15,""label"":""cpe_version""}]"
dnesscarkey use any font 4.1 for wordpress,"[{""start"":0,""end"":10,""label"":""cpe_vendor""},{""start"":12,""end"":23,""label"":""cpe_product""},{""start"":25,""end"":27,""label"":""cpe_version""}]"
darold squidclamav 6.2,"[{""start"":0,""end"":5,""label"":""cpe_vendor""},{""start"":7,""end"":17,""label"":""cpe_product""},{""start"":19,""end"":21,""label"":""cpe_version""}]"
cisco webex business suite 31 t31.17.5,"[{""start"":0,""end"":4,""label"":""cpe_vendor""},{""start"":6,""end"":28,""label"":""cpe_product""},{""start"":30,""end"":37,""label"":""cpe_version""}]"
igreks milkystep professional 1.55,"[{""start"":0,""end"":5,""label"":""cpe_vendor""},{""start"":7,""end"":28,""label"":""cpe_product""},{""start"":30,""end"":33,""label"":""cpe_version""}]"
quadbase espressreport es 5.5,"[{""start"":0,""end"":7,""label"":""cpe_vendor""},{""start"":9,""end"":24,""label"":""cpe_product""},{""start"":26,""end"":28,""label"":""cpe_version""}]"
