apple mac os x 10.9.3,[apple](cpe_vendor) [mac os x](cpe_product) [10.9.3](cpe_version)
citadel citadel_ux 6.27,[citadel](cpe_vendor) citadel_[ux](cpe_product) [6.27](cpe_version)
amazee lagoon 0.18.8,[amazee](cpe_vendor) [lagoon](cpe_product) [0.18.8](cpe_version)
f5 nginx 0.8.38,[f5](cpe_vendor) [nginx](cpe_product) [0.8.38](cpe_version)
inversoft prime-jwt 0.1.2,[inversoft](cpe_vendor) [prime-jwt](cpe_product) [0.1.2](cpe_version)
wplegalpages wp legal pages 2.0.6 for wordpress,[wplegalpages](cpe_vendor) [wp legal pages](cpe_product) [2.0.6](cpe_version) for wordpress
airtame hdmi dongle firmware 2.1.1,[airtame](cpe_vendor) [hdmi dongle firmware](cpe_product) [2.1.1](cpe_version)
checksec canopy 3.5.3,[checksec](cpe_vendor) [canopy](cpe_product) [3.5.3](cpe_version)
microsoft sharepoint server 2019,[microsoft](cpe_vendor) [sharepoint server](cpe_product) [2019](cpe_version)
iminho mindoc 0.8,[iminho](cpe_vendor) [mindoc](cpe_product) [0.8](cpe_version)
greentreelabs gallery photoblocks 1.1.31 for wordpress,[greentreelabs](cpe_vendor) [gallery photoblocks](cpe_product) [1.1.31](cpe_version) for wordpress
horde dynamic imp (dimp) 1.1 release candidate 2,[horde](cpe_vendor) [dynamic imp](cpe_product) (dimp) [1.1](cpe_version) release candidate 2
apereo uportal 5.8.1,[apereo](cpe_vendor) [uportal](cpe_product) [5.8.1](cpe_version)
documalis free pdf scanner 5.7.2.122,[documalis](cpe_vendor) [free pdf scanner](cpe_product) [5.7.2.122](cpe_version)
sygnoos popup builder 3.0.7 wordpress,[sygnoos](cpe_vendor) [popup builder](cpe_product) [3.0.7](cpe_version) wordpress
dell inspiron 7352 bios a12,[dell](cpe_vendor) [inspiron 7352 bios](cpe_product) [a12](cpe_version)
mitreid connect 1.0.6,[mitreid](cpe_vendor) [connect](cpe_product) [1.0.6](cpe_version)
eyrie remctl 3.1,[eyrie](cpe_vendor) [remctl](cpe_product) [3.1](cpe_version)
digium certified asterisk 1.8.4.0 release candidate 1,[digium](cpe_vendor) [certified asterisk](cpe_product) [1.8.4.0](cpe_version) release candidate 1
openapi-generator openapi generator 4.1.0,[openapi-generator](cpe_vendor) [openapi generator](cpe_product) [4.1.0](cpe_version)
oracle agile product lifecycle management framework 9.3.4,[oracle](cpe_vendor) [agile product lifecycle management framework](cpe_product) [9.3.4](cpe_version)
vmware tools 3.1.2.12031,[vmware](cpe_vendor) [tools](cpe_product) [3.1.2.12031](cpe_version)
betterment testtrack 1.0,[betterment](cpe_vendor) [testtrack](cpe_product) [1.0](cpe_version)
mortbay jetty 2.2.7,[mortbay](cpe_vendor) [jetty](cpe_product) [2.2.7](cpe_version)
webkul bagisto 0.1.1,[webkul](cpe_vendor) [bagisto](cpe_product) [0.1.1](cpe_version)
atlassian jira service desk 3.0.9 data center edition,[atlassian](cpe_vendor) [jira service desk](cpe_product) [3.0.9](cpe_version) data center edition
boonex dolphin 7.2.0 beta 2,[boonex](cpe_vendor) [dolphin](cpe_product) [7.2.0](cpe_version) beta 2
syntevo smartsvn 3.0.8,[syntevo](cpe_vendor) [smartsvn](cpe_product) [3.0.8](cpe_version)
f5 big-ip policy enforcement manager 14.1.2.1.0.115.4,[f5](cpe_vendor) [big-ip policy enforcement manager](cpe_product) [14.1.2.1.0.115.4](cpe_version)
sun sdk 1.2.2_010,[sun](cpe_vendor) [sdk](cpe_product) [1.2.2_010](cpe_version)
ibm db2 high performance unload load 6.1.0.2 interim fix 2,[ibm](cpe_vendor) [db2 high performance unload load](cpe_product) [6.1.0.2](cpe_version) interim fix 2
ttpsc the scheduler 3.3.5 for jira,[ttpsc](cpe_vendor) [the scheduler](cpe_product) [3.3.5](cpe_version) for jira
nicehash miner 1.9.2.6,[nicehash](cpe_vendor) [miner](cpe_product) [1.9.2.6](cpe_version)
yourownprogrammer yop poll 3.3 for wordpress,[yourownprogrammer](cpe_vendor) [yop poll](cpe_product) [3.3](cpe_version) for wordpress
encode uvicorn 0.8.5,[encode](cpe_vendor) [uvicorn](cpe_product) [0.8.5](cpe_version)
rocomotion p link 1.01,[rocomotion](cpe_vendor) [p link](cpe_product) [1.01](cpe_version)
jetbrains intellij idea 2017.2.1,[jetbrains](cpe_vendor) [intellij idea](cpe_product) [2017.2.1](cpe_version)
vercel next.js 5.0.1 canary 12 for node.js,[vercel](cpe_vendor) [next.js](cpe_product) [5.0.1](cpe_version) canary 12 for node.js
typelevel http4s 0.22.0 milestone 5,[typelevel](cpe_vendor) [http4s](cpe_product) [0.22.0](cpe_version) milestone 5
ijhack qtpass 0.9.1 for pass,[ijhack](cpe_vendor) [qtpass](cpe_product) [0.9.1](cpe_version) for pass
churchdesk churchrota 2.1.0,[churchdesk](cpe_vendor) [churchrota](cpe_product) [2.1.0](cpe_version)
devowl wordpress real media library 4.14.2 for wordpress,[devowl](cpe_vendor) [wordpress real media library](cpe_product) [4.14.2](cpe_version) for wordpress
sass-lang libsass 3.5.0 beta3,[sass-lang](cpe_vendor) [libsass](cpe_product) [3.5.0](cpe_version) beta3
fortinet forticlient 5.6.6 for windows,[fortinet](cpe_vendor) [forticlient](cpe_product) [5.6.6](cpe_version) for windows
inpsyde backwpup 2.1.16 for wordpress,[inpsyde](cpe_vendor) [backwpup](cpe_product) [2.1.16](cpe_version) for wordpress
clusterlabs fence-agents 4.0.10,[clusterlabs](cpe_vendor) [fence-agents](cpe_product) [4.0.10](cpe_version)
netflix hollow 2.1.1,[netflix](cpe_vendor) [hollow](cpe_product) [2.1.1](cpe_version)
embedplus youtube 8.6 for wordpress,[embedplus](cpe_vendor) [youtube](cpe_product) [8.6](cpe_version) for wordpress
hashicorp consul 1.7.2,[hashicorp](cpe_vendor) [consul](cpe_product) [1.7.2](cpe_version)
zucchetti infobusiness 4.4.1,[zucchetti](cpe_vendor) [infobusiness](cpe_product) [4.4.1](cpe_version)
dadamailproject dada mail 11.0.1,[dadamailproject](cpe_vendor) [dada mail](cpe_product) [11.0.1](cpe_version)
magnolia-cms magnolia cms 6.0,[magnolia-cms](cpe_vendor) [magnolia cms](cpe_product) [6.0](cpe_version)
oracle policy automation for mobile devices 12.1.1,[oracle](cpe_vendor) [policy automation for mobile devices](cpe_product) [12.1.1](cpe_version)
motorola sbg941 1.0,[motorola](cpe_vendor) [sbg941](cpe_product) [1.0](cpe_version)
lenovo power management 1.31,[lenovo](cpe_vendor) [power management](cpe_product) [1.31](cpe_version)
bueltge adminimize 1.7.22,[bueltge](cpe_vendor) [adminimize](cpe_product) [1.7.22](cpe_version)
snapappointments bootstrap-select 1.7.2 for node.js,[snapappointments](cpe_vendor) [bootstrap-select](cpe_product) [1.7.2](cpe_version) for node.js
dell emc networker 9.2.0.0,[dell](cpe_vendor) [emc networker](cpe_product) [9.2.0.0](cpe_version)
netgear rbk50 firmware 2.6.1.40,[netgear](cpe_vendor) [rbk50 firmware](cpe_product) [2.6.1.40](cpe_version)
clusterlabs fence-agents 4.0.9,[clusterlabs](cpe_vendor) [fence-agents](cpe_product) [4.0.9](cpe_version)
facebook hhvm 3.28.2,[facebook](cpe_vendor) [hhvm](cpe_product) [3.28.2](cpe_version)
schedmd slurm 2.3.3,[schedmd](cpe_vendor) [slurm](cpe_product) [2.3.3](cpe_version)
advancemame advancecomp 1.20,[advancemame](cpe_vendor) [advancecomp](cpe_product) [1.20](cpe_version)
google chrome 43.0.2357.81,[google](cpe_vendor) [chrome](cpe_product) [43.0.2357.81](cpe_version)
23andme yamale 1.10.1,[23andme](cpe_vendor) [yamale](cpe_product) [1.10.1](cpe_version)
mersive solstice firmware 5.2,[mersive](cpe_vendor) [solstice firmware](cpe_product) [5.2](cpe_version)
ibm emptoris sourcing 10.0.2.1,[ibm](cpe_vendor) [emptoris sourcing](cpe_product) [10.0.2.1](cpe_version)
cisco firepower threat defense 6.3.0.3,[cisco](cpe_vendor) [firepower threat defense](cpe_product) [6.3.0.3](cpe_version)
live555 streaming media 2018-02-26,[live555](cpe_vendor) [streaming media](cpe_product) [2018-02-26](cpe_version)
numfocus pandas 0.23.0 dev0,[numfocus](cpe_vendor) [pandas](cpe_product) [0.23.0](cpe_version) dev0
openfabrics ibutils 1.5.7-2,[openfabrics](cpe_vendor) [ibutils](cpe_product) [1.5.7-2](cpe_version)
energy sciences network (esnet) iperf3 3.0.6,energy scienc[es](cpe_vendor) network (esnet) [iperf3](cpe_product) [3.0.6](cpe_version)
elastic kibana 4.0.0,[elastic](cpe_vendor) [kibana](cpe_product) [4.0.0](cpe_version)
airties air 5750 firmware 1.0.0.18,[airties](cpe_vendor) [air 5750 firmware](cpe_product) [1.0.0.18](cpe_version)
x.org x server 1.5.99.903,[x.org](cpe_vendor) [x server](cpe_product) [1.5.99.903](cpe_version)
aki-null yorufukurou (nightowl) 2.72,[aki-null](cpe_vendor) [yorufukurou](cpe_product) (nightowl) [2.72](cpe_version)
tribulant one click ssl 1.4.3 for wordpress,[tribulant](cpe_vendor) [one click ssl](cpe_product) [1.4.3](cpe_version) for wordpress
joomunited wp latest posts 3.9.3 for wordpress,[joomunited](cpe_vendor) [wp latest posts](cpe_product) [3.9.3](cpe_version) for wordpress
themeinprogress nova lite 1.3.7 for wordpress,[themeinprogress](cpe_vendor) [nova lite](cpe_product) [1.3.7](cpe_version) for wordpress
dadamailproject dada mail 7.4.0,[dadamailproject](cpe_vendor) [dada mail](cpe_product) [7.4.0](cpe_version)
jenkins debian package builder 1.6.2 for jenkins,[jenkins](cpe_vendor) [debian package builder](cpe_product) [1.6.2](cpe_version) for jenkins
credova financial 1.1.0 for wordpress,[credova](cpe_vendor) [financial](cpe_product) [1.1.0](cpe_version) for wordpress
asynkron wire 0.0.5,[asynkron](cpe_vendor) [wire](cpe_product) [0.0.5](cpe_version)
10web social feed for instagram 1.1.6 premium edition for wordpress,[10web](cpe_vendor) [social feed for instagram](cpe_product) [1.1.6](cpe_version) premium edition for wordpress
bosch smart home 9.5.2 for iphone os,[bosch](cpe_vendor) [smart home](cpe_product) [9.5.2](cpe_version) for iphone os
redmine git hosting 4.0.2 for redmine,[redmine](cpe_vendor) [git hosting](cpe_product) [4.0.2](cpe_version) for redmine
